pais,desarrollo_humano_porcentaje,pib_usd_per_capita,irradiancia_kwh/m2/day,coste_construccion_usd/kwh,consumo_kwh_per_capita,tarifa_luz_uscent/kwh,capacidad_instalada_wp_per_capita
Federated States of Micronesia,0.627254687774862,3058.43181818182,4.7468,0.1148,,37.8,15.980113636363637
Algeria,0.753767534742925,4278.85005953418,5.9225,0.0867,1362.87191909646,2.2,9.70909905267847
Lesotho,0.519729430058393,1324.282767995,5.5414,0.0836,,13.9,0.18974143934061055
Djibouti,0.476005730901248,2050.20473202095,6.0575,0.0886,,25.5,0.3128519584532599
Republic of Yemen,0.45190042638439,944.408499373419,6.4675,0.0818,219.799922434946,,5.263400380515776
Slovakia,0.85520023672264,19546.9019028513,3.2518,0.109,5137.07383519398,11.6,97.48465718170938
Spain,0.891020216441035,30523.8592390473,4.5754,0.081,5355.98700558221,24.8,101.52652776214511
Czech Republic,0.887561428889983,23078.5734865691,3.0809,0.1167,6258.89103703659,12.1,195.51662267738723
Italy,0.879769445141925,34318.3511241724,4.0721,0.0673,5002.40667987736,19.3,332.9401429388815
Bosnia and Herzegovina,0.768450830849191,5951.32329883943,3.6591,0.1195,3446.76666750907,16.2,5.716126908847933
Eritrea,0.439978537976607,,6.0715,0.087,,,0.6033519553072626
Solomon Islands,0.545960041430625,2162.65180398781,4.4017,0.117,,67.4,3.8293166354705006
United States Virgin Islands (U.S.),,35938.0243875154,5.6868,0.0751,,,46.73901866756405
Namibia,0.646525269823004,5931.45388457263,6.4047,0.0791,1652.56902565727,13.5,32.18618975556059
Cameroon,0.55593848219278,1526.87571339209,5.2957,0.1,275.197913680616,14.1,0.5631292250306816
Sudan,0.502465678242747,977.273635724417,6.3227,0.086,190.220886811296,4.4,0.421037190191087
Uzbekistan,0.709846646692492,1532.37163919396,4.5128,0.0997,1645.44162925056,5.7,0.11834175886197709
Afghanistan,0.497695114045789,520.896602719135,5.4904,0.0851,,17.6,0.5918371771992252
Denmark,0.929474111110122,60726.4665351509,2.7671,0.1252,5858.80153628748,20.3,172.1447685756797
Portugal,0.847113340712876,23145.7349562595,4.5656,0.0826,4662.60079980294,25.2,65.18338004711644
New Caledonia (Fr.),,,4.5737,0.1076,,,115.46856297965218
French Polynesia (Fr.),,,5.2558,0.0745,,,122.44354092315227
Libya,0.705599425240214,7235.02811502498,6.1345,0.083,1811.05516990863,11.6,0.7636368700051972
Kuwait,0.803066024249548,34243.9529098591,5.6764,0.0882,15590.5999064737,0.8,7.371941520442394
Mexico,0.774034620773871,9698.0841865066,5.7277,0.0902,2157.32394883914,11.5,20.136176659741597
Israel,0.903244841425405,41613.9980821758,5.7536,0.0706,6600.8982801222,11.9,120.44395416375875
Guatemala,0.650311622520604,4549.01008110721,5.2525,0.0974,577.897354201025,19.4,6.580546732694771
Montenegro,0.813692301889981,8760.69228579702,3.8614,0.1116,4612.34139045689,13.3,5.463207706336518
Zimbabwe,0.534553285754596,2146.99638487707,5.781,0.0875,609.125952099707,11.9,0.7341219465201858
The Bahamas,0.80712629587972,31857.890145929,5.3607,0.0936,,27.6,3.371019603775542
Ukraine,0.750709737576033,3095.17358053586,3.3505,0.1295,3418.58502352461,7.1,44.8809296185809
Equatorial Guinea,0.590561035064195,10173.963020188,4.6,0.116,,17.0,0.0
Sri Lanka,0.770010247477162,4102.48135014467,5.277,0.101,531.090576571374,16.9,7.341947392708814
Belgium,0.916066036844582,46556.0995671479,2.9436,0.1219,7709.12307788247,15.8,352.4405562985617
Kazakhstan,0.800434604158046,9331.04694986684,3.8227,0.1163,5600.20846486508,5.0,11.435450520364977
Tajikistan,0.650014529686563,826.621530538704,4.5133,0.0984,1499.48508590929,6.4,0.0
Liberia,0.435093908015316,674.209484710137,4.8758,0.1095,,39.0,0.5395335981059881
